tab,field,value
Įmonė,Pavadinimas,"6 vijos, MB"
Įmonė,Kreditavimo rizika,Žema
Įmonė,Šūkis,Skaitmeninio augimo strateginis partneris.
Įmonė,Veiklos sritys,Reklamos paslaugos
Įmonė,Įmonės aprašymas,Holistiniai rinkodaros ir pardavimų sprendimai pritaikyti JUMS. Mes pasiruošę panaudoti per daugelį metų sukauptas žinias Jūsų įmonės augimui ir strateginių tikslų pasiekimui.
Įmonė,Įmonės kodas,304405052
Įmonė,PVM mokėtojo kodas,LT100018834410
Įmonė,Įmonės amžius,9 metai 8 mėnesiai 23 dienos
Įmonė,Vadovas,Henrikas Senkus
Įmonė,Adresas,"Polocko g. 51-11, LT-01205 Vilnius"
Įmonė,Mobilus telefonas,+370 650 97123
Įmonė,Tinklalapis,http://6loops.lt
Įmonė,Įvertinimas,7 / 10 (įvertino 1)
Įmonė,LinkedIn paskyra,https://www.linkedin.com/company/6-loops/
Įmonė,Darbuotojai,1 darbuotojas - apdraustasis
Įmonė,Eksportas,"20% nuo apyvartos Jungtinės Amerikos Valstijos, Latvija, Estija"
Įmonė,SODRA (VSDFV),"skola 94,55 € (2026-06-20 dienos pradžioje)"
Įmonė,Kredito rizika,Žema
Įmonė,Ataskaita,Išsami ataskaita Tik 45 Eur Ataskaitoje yra specifinių duomenų
Finansai,Pardavimo pajamos 2022,0 €
Finansai,Pardavimo pajamos 2023,23 740 €
Finansai,Pardavimo pajamos 2024,60 840 €
Finansai,Pardavimo pajamos 2025,123 706 €
Finansai,Pelnas (nuostoliai) prieš mokesčius 2021,0 €
Finansai,Pelnas (nuostoliai) prieš mokesčius 2022,0 €
Finansai,Pelnas (nuostoliai) prieš mokesčius 2023,19 584 €
Finansai,Pelnas (nuostoliai) prieš mokesčius 2024,32 936 €
Finansai,Pelnas (nuostoliai) prieš mokesčius 2025,65 157 €
Finansai,Pelningumas prieš mokesčius 2023,"82,49 %"
Finansai,Pelningumas prieš mokesčius 2024,"54,14 %"
Finansai,Pelningumas prieš mokesčius 2025,"52,67 %"
Finansai,Grynasis pelnas (nuostoliai) 2021,0 €
Finansai,Grynasis pelnas (nuostoliai) 2022,0 €
Finansai,Grynasis pelnas (nuostoliai) 2023,18 605 €
Finansai,Grynasis pelnas (nuostoliai) 2024,31 289 €
Finansai,Grynasis pelnas (nuostoliai) 2025,60 309 €
Finansai,Grynasis pelningumas 2023,"78,37 %"
